StaphA,StaphB,StaphC,StaphD,Sample,Timepoint
0.02,0.02,0.031152,0.041,Control,0
0.02,0.02,0.042834,0.03,Control,0
0.032,0.038,0.044132,0.035,Phage1,0
0.032,0.034,0.04543,0.035,Phage1,0
0.039,0.036,0.04543,0.021,Phage2,0
0.039,0.055,0.040238,0.03,Phage2,0
0.048,0.044,0.065,0.074,Control,1
0.04896,0.0766,0.0663,0.07548,Control,1
0.0442,0.0494,0.0429,0.0481,Phage1,1
0.045084,0.050388,0.043758,0.049062,Phage1,1
0.03675,0.0357,0.0378,0.0231,Phage2,1
0.037485,0.036414,0.038556,0.023562,Phage2,1
0.096,0.088,0.13,0.148,Control,2
0.09792,0.08976,0.1326,0.15096,Control,2
0.06188,0.06916,0.06006,0.06734,Phage1,2
0.0631176,0.0705432,0.0612612,0.0686868,Phage1,2
0.037485,0.036414,0.038556,0.023562,Phage2,2
0.0382347,0.03714228,0.03932712,0.02403324,Phage2,2
